yearArticle, authorArticle, year, authorFirst, authorLast, authors, article, number, line
"2019","Tourish, Dennis","2007","Plowman DA","Plowman DA","Plowman DA","1","1","Plowman DA, 2007, LEADERSHIP QUART, V18, P341, DOI 10.1016/j.leaqua.2007.04.004."
"2019","Tourish, Dennis","2013","Putnam L. L.","Putnam L. L.","Putnam L. L.","1","1","Putnam L. L., 2013, ORG ORG MAT AGENCY D, P23."
"2019","Tourish, Dennis","2015","Putnam LL","Putnam LL","Putnam LL","1","1","Putnam LL, 2015, J MANAGE STUD, V52, P706, DOI 10.1111/joms.12115."
"2019","Tourish, Dennis","2011","Schoeneborn D","Schoeneborn D","Schoeneborn D","1","1","Schoeneborn D, 2011, MANAGE COMMUN Q, V25, P663, DOI 10.1177/0893318911405622."
"2019","Tourish, Dennis","2017","Shepherd DA","Shepherd DA","Shepherd DA","1","1","Shepherd DA, 2017, J MANAGE, V43, P59, DOI 10.1177/0149206316647102."
"2019","Tourish, Dennis","2006","Solow D","Solow D","Solow D","1","1","Solow D, 2006, E CO, V8, P52."
"2019","Tourish, Dennis","2016","Spector B.","Spector B.","Spector B.","1","1","Spector B., 2016, DISCOURSE LEADERSHIP."
"2019","Tourish, Dennis","2014","Spector B","Spector B","Spector B","1","1","Spector B, 2014, MANAG ORGAN HIST, V9, P305, DOI 10.1080/17449359.2014.920261."
"2019","Tourish, Dennis","2011","Taylor JR","Taylor JR","Taylor JR","1","1","Taylor JR, 2011, ORGAN STUD, V32, P1273, DOI 10.1177/0170840611411396."
"2019","Tourish, Dennis","2011","Thietart A-R","Thietart A-R","Thietart A-R","1","1","Thietart A-R, 2011, SAGE HDB COMPLEXITY, P53, DOI DOI 10.4135/9781446201084.N3."
"2019","Tourish, Dennis","1995","THIETART RA","THIETART RA","THIETART RA","1","1","THIETART RA, 1995, ORGAN SCI, V6, P19, DOI 10.1287/orsc.6.1.19."
"2019","Tourish, Dennis","1995","THOMPSON P","THOMPSON P","THOMPSON P","1","1","THOMPSON P, 1995, PERS REV, V24, P17."
"2019","Tourish, Dennis","2013","Tourish D.","Tourish D.","Tourish D.","1","1","Tourish D., 2013, DARK SIDE TRANSFORMA."
"2019","Tourish, Dennis","2014","Tourish D","Tourish D","Tourish D","1","1","Tourish D, 2014, LEADERSHIP-LONDON, V10, P79, DOI 10.1177/1742715013509030."
"2019","Tourish, Dennis","1998","Tsoukas H","Tsoukas H","Tsoukas H","1","1","Tsoukas H, 1998, ORGANIZATION, V5, P291, DOI 10.1177/135050849853001."
"2019","Tourish, Dennis","2001","Tsoukas H","Tsoukas H","Tsoukas H","1","1","Tsoukas H, 2001, HUM RELAT, V54, P979, DOI 10.1177/0018726701548001."
"2019","Tourish, Dennis","2017","Tsoukas H","Tsoukas H","Tsoukas H","1","1","Tsoukas H, 2017, J MANAGE STUD, V54, P132, DOI 10.1111/joms.12219."
"2019","Tourish, Dennis","2011","Tsoukas H","Tsoukas H","Tsoukas H","1","1","Tsoukas H, 2011, ORGAN STUD, V32, P729, DOI 10.1177/0170840611410805."
"2019","Tourish, Dennis","2007","Uhl-Bien M","Uhl-Bien M","Uhl-Bien M","1","1","Uhl-Bien M, 2007, LEADERSHIP QUART, V18, P298, DOI 10.1016/j.leaqua.2007.04.002."
